appid,short_description
1290,Blob From Space is a 2d side scroller game. Difficulty will change when progressing. Try to survive many challenges with only 3 continues! Let the rage begin!
1291,"A 2.5D action-packed side-scrolling game, takes players on a thrilling sci-fi adventure! Take control of combat specialist Ares, or the new playable character, Tarus, to battle deadly machines with a variety of powerful weapons and armor. Your goal: Save Minos Space Station’s survivors and uncover the nefarious Zytron’s extinction agenda!"
1292,"Polarity takes it to the next level, demanding all of your wits and reflexes. Full-featured local co-op campaign."
1293,"Crash land on a hostile planet where you'll have to build the strongest defenses if you wish to live to escape from it. But be warned... this planet is merciless. Build strong, and smart; else physics may flood or destroy your only hopes of survival."
1294,"A tale of the planet's final love story told using the full force of minori's critically acclaimed illustrative style, engaging musical compositions, and the highly talented staff that has led fans coming back for more every single time!"
1295,"You are Sarah, princess of the peaceful realm of Kaleiya. The quiet life of your kingdom was lost the day your father was seduced and then kidnapped by Lilith, a demon mistress. Travel through ice castles, cold dungeons, lava caves and much more! Bring your father and king back home!"
1296,"Stonerid is a challenging 2D platformer, which the most important feature are two parallel, different worlds. Over 30 different levels to complete, unconventional game style and lots of dangerous traps and monsters make it extremely difficult to rise to the challenge."
1297,"MORE CARDS. MORE STRATEGY. BIGGER STORY. Collect 1,300+ earnable cards, battle in 60+ single-player campaign missions, and emerge victorious in epic online duels."
1298,"Parcel is an atmospheric block-pushing puzzle game where your goal is to solve interlocking laser puzzles by using the unique abilities of different characters. Switch between members of your team of postpeople and make your way through mind benders in a charming, ridiculous cyberpunk future!"
1299,"When a mysterious and beautiful woman rushes into George Stobbart’s office, pleading for help, he cannot know that he will be inextricably drawn into terrifying conspiracy, and a desperate search for a nefarious artifact of great and terrible power. For George, it looks like the world needs saving. Again."
1300,"sZone Online is open world MMORPG and a post-apocalyptic shooter. Be a scientist, a soldier, a hunter or an engineer. Explore anomalous territories, search for artifacts, fight mutants and other players. Participate in mass PvP and PvE battles. The Zone is waiting!"
1301,"Invite a friend to explore the strange, yet beautiful world of darkness and light in Shadow Puppeteer, an award-winning, local co-op adventure."
1302,Toast Time is a throwback to the golden age of video games where old-school homebrew titles fused arcade action with a distinctly British sense of humour.
1303,"In time for the 10th anniversary since its original release in Japan, planetarian is an engaging and emotional visual novel from legendary game studio, Key. A sub-brand of VisualArts, Key are also famed for creating Kanon, AIR, CLANNAD, Little Busters!, Rewrite, and Angel Beats!"
1304,"One of the most acclaimed adventure games of all time is now back, better than ever. Grim Fandango Remastered has the all the beautiful art and engaging story fans remember, but has also been remastered to look, sound, and control even better than the award-winning original release."
1305,"Inspired by classic Kung Fu films, this passion fueled fighter provides fun 1 vs. 1 gameplay for gamers of all skill levels. Take on the role of one of 14 martial arts stunt masters as you fight to show your style cannot be beat. Fight it out in the Single Player Arcade Mode or Local Two Player VS. Matches."
1306,Help a woman named Hope escape in a thrilling and topical stealth-action game that explores the perils of government surveillance in the Internet Age.
1307,"Color Symphony is a game program utilizing the human recognition ability and visual senses, and various colors are used to play the game by changing colors to disrupt the cognition or to strengthen the cognition. The player can control the enemy, eliminate obstacles or build new roads with different colors."
1308,"Your blocks, your castle, your world!Build anything you can dream up and explore with other players! Cubic Castles is a mini-MMO that combines the best of block-building and 3D platform action! Create fantastic parkour challenges, explore worlds made by other players, or even make new friends- the only limit is your imagination."
1309,Velocibox is a twitch-heavy action game crafted for the hardcore audience.
1310,"Guild of Dungeoneering is a turn-based dungeon crawler with a twist: instead of controlling the hero you build the dungeon around him. Using cards drawn from your Guild decks you lay down rooms, monsters, traps and of course loot!"
1311,AXYOS is an experimental shooter with some MOBA gameplay elements. Upgrade yourself in the game session to lead your team to win!
1312,"Convoy is a tactical roguelike-like inspired by Mad Max and FTL in which you cross a wasteland in search of parts for your broken ship. Presented in pixel art and set in a future post-apocalyptic setting, Convoy is a squad based tactical combat roguelike-like in its core."
1313,"Battle demons and undead attorneys, and win souls to pay back your student loans! At the elite demonic-law firm of Varkath Nebuchadnezzar Stone, you'll depose a fallen god, find romance, and maybe even make partner, if you don't lose your own soul first."
1314,"From the creators of Hero Siege, Squishy the Suicidal Pig is a puzzle platformer with a counterintuitive goal where you play as Squishy, a pig wearing a yellow sweater who's trying to reach his parents in animal heaven by completing his deal with the devil.You asked for a challenge, now you have it!"
1315,"A rogue-lite river journey through the backwaters of a forgotten post-societal America. Forage, craft, evade predators."
1316,Fly the famed Platypus fighter through a fantastic landscape of carefully molded clay to protect inhabitants of Mungola from the Collosatropolians! Collect power-ups and bonus stars to give your Platypus the boost you need. Every level of this gorgeous arcade challenge bursts with original fun that's perfect for gamers of all ages.
1317,"Great Permutator is a puzzle. Hard and tricky. One in which you will have to build a complex system of conveyors and various devices so that the colored boxes can travel across the factory and arrive at right places and in right order. If you are into clever engineering puzzles, this game is for you."
1318,"Welcome to your new summer job at Freddy Fazbear's Pizza, where kids and parents alike come for entertainment and food! The main attraction is Freddy Fazbear, of course; and his two friends. They are animatronic robots, programmed to please the crowds!"
1319,Get inside a particle accelerator and experience unbelievable speed previously reserved for only the most advanced laboratories on Earth! The Collider is a fast-paced and compelling arcade game that will put your reflexes to the test. Tune in with the energizing electronic music and beat your friends' high scores.
1320,"Reprisal Universe places you in charge of the very elements themselves. Raise and lower land to expand your tribes, harness the power of fire and water. Explore the hidden mysteries of the Universe and gather your people together once again."
1321,"Bridge Constructor Medieval turns back the clock a few centuries to the time of knights and castles. Build sturdy bridges to supply your city with provisions - or cunningly constructed bridges that collapse under the weight of attacking troops, sending the horde of enemies into the abyss below."
1322,"The Detail, a crime noir adventure in a modern American city. This is a city where cases matter, clearance rates matter, and on a good day even justice matters."
1323,Absolute Drift is a racing game about becoming a master at the art of drifting.
1324,"New cars, new tools, new options, more parts and much more fun in the next version of Car Mechanic Simulator! Take your wrench! Create and expand your auto repairs service empire. Car Mechanic Simulator 2015 will take you behind the scenes of daily routine in car workshop."
1325,Lord Draak's henchmen are spreading chaos in Uma. Are you going to let them get away with it?
1326,"Cosmonautica is a fresh take on space trading in a procedurally generated universe, paired with quirky humor for your intergalactic enjoyment."
1327,"Pimp up your mobility scooter and take on the Grim Reaper and his Zombie army in a race for your soul. Armed with a variety of homemade weapons and gadgets, battle your way through 13 unique &amp; exhilarating tracks. Can you survive the retirement village?"
1328,"Enter a magical fairy-tale world and overcome the evil Crow Witch! After the Crow Witch captures the Months, the world may never see a New Year again!"
1329,"Wings!(tm), the classic flight-combat action game from the Amiga generation is back! With &quot;Wings! Remastered Edition“ Cinemaware brings you back to an experience full of blasting action, drama and emotions."
1330,Welcome to a beautiful Adventure set in a unique interactive 3D world full of mysterious puzzles and Hidden Objects. Prepare for an unforgettable experience!
1331,"Wickland is an indie arena shooter heavily inspired by classic FPS games of the 90's. Morph into eight deadly beasts and use their own unique abilities, blaze through maps at insane speed to pick up power-ups, and fight your friends or foes in classic maze-like arena maps, just like the good old days."
1332,Sigils of Elohim is a free mini-game prelude to Croteam’s upcoming first-person puzzler The Talos Principle that challenges players to solve dozens of challenging sigil puzzles under the watchful eye of Elohim.
1333,"For those of you who cannot live without old-style hardcore platformer challenges, Yury brings the ultimate spikes-lava-monsters experience."
1334,Jump and fly your way through danger in this rhythm-based action platformer!
1335,"The Repopulation is a Massively Multiplayer Online Role Playing Game in a science fiction setting built heavily upon social aspects, sandbox driven gameplay and in depth crafting systems. CURRENTLY IN ALPHA BUILDS."
1336,"Become the sporting director of one of the pro cycling circuit's 90 teams, and compete in a thrilling 2015 season. Participate in over 200 competitions (550 stages) and the ultimate challenge: the prestigious Tour de France 2015 and its official route."
1337,"'War, the Game' is a RTS for pc in realistic present day setting.The controls are intuitive, the game rules are simple and transparent.The game focuses on strategy and the use of ones brain to complete the scenarios.The map is a spherical version of earth. That's new."
1338,"Learn to fly radio controlled (R/C) models with aerofly RC 7. When it comes to learning and improving R/C flying skills, aerofly RC 7 is the number one choice for R/C pilots. Our state of the art physics simulation gives you a stunning level of realism."
1339,"Vagante is an action-packed platformer that features permanent death and procedurally generated levels. Play cooperatively with friends both locally and online, or adventure solo in this challenging roguelike-inspired game."
1340,"Experience the freedom of unbounded climbing as you take control of BUD, a procedurally animated robot on a quest to save his planet. Create your own path through an alien world as you control and ride a giant plant on a vertical journey to the stars."
1341,"In this darkly comedic story, you are the hero of an unfinished fantasy game, and your designers have failed you. Steal the power of a game god - trap their creations, swap behaviors and body parts, crafting your own unique solutions to free-form puzzles. Can you release a game ...from the inside?"
1342,"DRAGON BALL XENOVERSE revisits famous battles from the series through your custom Avatar and other classic characters. New features include the mysterious Toki Toki City, new gameplay mechanics, new animations and many other amazing features!"
1343,iO is an abstract physics platformer about size and speed. Grow bigger and smaller in order to solve some of the trickiest puzzles. Reach the exit as quickly as possible and grab a gold medal as your reward!
1344,"Rising World is a voxel based open-world sandbox game, featuring a procedurally generated world, playable in single and multi-player."
1345,"Explore the vast reaches of VoidExpanse -- mine asteroids, upgrade your ship, trade, complete missions, advance your character and survive fast-paced combat with hostile aliens and mercenaries in the rich and exciting Sci-Fi universe of VoidExpanse!"
1346,FIRE is an exploration-adventure with intuitive puzzle design. Without losing many words it tells a savagely hilarious story. Journey into the Stone Age and face the most challenging task of this era: The search for fire!
1347,"Fat Chicken is a REVERSE TOWER DEFENSE game where you fatten up farm animals for slaughter by pumping them full of hormones, overfeeding them and basting them with antibiotics to keep them alive so they're worth more when you turn 'em into tasty, tasty packaged meat...it's what's for dinner!"
1348,"Clash of Puppets is a 3D hack’n’slash platformer, featuring classic b-movie style."
1349,Horizon Shift is an explosive wave based single screen shooter with a ton of new ideas and platformer elements. Do what it takes to protect your horizon from the ever encroaching enemy attack!
1350,"Death Skid Marks is a rogue-like car combat game about what so many of us have experienced: a road trip to a music gig… only in this game, things get violent. The game uniquely blends top down arcade action and RPG mechanics."
1351,"Who would name their town Sinister City? Vampires, of course! When John discovers his bride-to-be has been kidnapped by Sinister City's number one bloodsucker, there's only one thing to do - search for hidden objects! And kill vampires! Or at least insult them until they give your girl back."
1352,"In the exciting visual adventure Mystery of Neuschwanstein, you will find all of the ingredients needed for a thrilling mystery adventure: a world famous castle, the mysterious, unexplained death of a fairy-tale king, and plenty of anonymous clues pointing to a whole web of dark conspiracies!"
1353,Windward is an action-filled multiplayer sandbox game that puts you in control of a ship sailing the high seas of a large procedurally-generated world.
1354,"It's a highly competitive 2D arcade game where you move the earth to a safe place by warping the space around. Thanks to educational elements you will learn about the universe in an entertaining way. In Space Warp patience, skills and perfect timing is the key to beat your friends."
1355,If My Heart Had Wings is an animated visual novel presenting a lovely and bittersweet tale of youth. Take on the role of Aoi Minase in this romantic-comedy as he meets various young girls in his hometown and works together with them to revive their school’s glider-flying “Soaring Club” in order to realize their shared dream of flight.
1356,"Based on the classic tabletop game, Warhammer Quest is an addictive mix of role-playing and strategy."
1357,"With her telekinesis, unorthodox use of torture instruments, a knack for improvisation and the help of a shady fox she makes her way from the peaks of Glass Mountain to the deepest dungeon."
1358,"The stealth genre gets turned on its head in The Marvellous Miss Take – the only heist adventure that invites you to steal with style! Use cunning, guile and the art of deception to grab the loot and escape without getting caught by the guards!"
1359,"An experimental short from the creator of To the Moon &amp; Finding Paradise: A simple &amp; surreal 1-hour interactive animation about a boy and an injured bird, told without dialogues."
1360,"CaesarIA is a remake of an old-school economic strategy game, Caesar III which is a masterpiece among the games of this genre in our opinion. There are different economic strategy games and they can be broken down to subtypes but from our viewpoint Caesar encompasses planning, constructing, diplomacy and military campaigns."
1361,Puzzlequest meets FTL in this Steampunk Victorian era roguelite.
1362,"Salt is an open world exploration game where you sail from island to island looking for loot and new discoveries! Relax and explore at your own pace, picking a direction and setting sail across a vast ocean filled with quests, merchants, ruins, pirates, and other mysterious places."
1363,"You are bread. Your mission, become toast! Take on all hazards to deliciousness as you head on an epic adventure in one of the the toughest games ever baked. All of the game modes (including Bagel Race) are now unlocked so there's sure to be something to suit everyone's taste!"
1364,"Potatoman will put your reflexes and worldview to the test as you journey through scorching deserts, dark forests, busy cities, the tallest mountains and eventually your own potato-consciousness in search of the ultimate answer. Are you prepared to face the TROOF?"
1365,"Take on the role of Tactics, leading a rebel faction to overthrow a powerful corporation controlling the virtual city of Markov Geist. Control an elite strike team of futuristic soldiers; plot paths and issue orders to your units, test your plans and predict your opponent in each turn."
1366,"Battlegrounds of Eldhelm is an indie, online, free-to-play CCG (collectible card game) / RPG (role playing game). It is heavily influenced by RPGs and borrows some mechanics and ideas. The result is a fascinating mixture between role playing game and a classic card collection game."
1367,"A spaceship building and universe-exploration game. Collect resources, expand and grow your fleet, and conquer your personal galaxy. Stellar ambience by Peaks."
1368,The legendary Major League Baseball franchise returns to the diamond. Make History.
1369,Explode into action!
1370,"You are on a bleak, cold, windy island. And you seem to be alone... but fires and candles still burn. As you explore, a story of guilt, loneliness, and faith begins to take shape. And it becomes increasingly obvious that something is hunting you..."
1371,"Life on Earth is unsustainable. Humanity must seek a new home but the only planet found is very hostile. You were sent on a expedition to slay the monsters inhabiting the surface of this planet. In this adventure you end up being the villain. Game contains two basic controls, many puzzles and lots of guns and enemies."
1372,"Combat in Shark Attack Deathmatch 2 is savage, gritty and brutal. Players hunt each other down in various game modes with the constant threat of terrifying sharks joining in on the bloodshed.Tear divers apart as you take on the the role as the ocean's top apex predator, The Great White."
1373,"Tales from the Borderlands is a five part episodic game series from the creators of The Walking Dead: A Telltale Games Series. Set on the unforgiving world of Pandora after the events seen in Borderlands 2, this is a story full of Borderlands’ trademark humor, following two adventurers on their quest for greatness."
1374,Passing Pineview Forest is a free mini-prequel set in the universe of Pineview Drive. Behind the abandoned house on Pineview Drive lies ominous Pineview Forest...
1375,"Thief Town is a local multiplayer stealth action game set in a pixel-perfect rendition of the Wild West. Lurk in the crowd, emulate non-player characters, and achieve backstabbing victory."
1376,"bitDungeon II is fast action-adventure game with a giant overworld to explore. You are a spirit in an undead world of demons. Your &quot;loved one's &quot; grave has been desecrated. Fight through these corrupted lands, and bring peace to her soul."
1377,Visual novel loved by many – Everlasting Summer – now on Steam!
1378,"Executive Assault is an indie real-time strategy/first-person shooter where you can not only build your base and create armies, but also take control of your units and fight as one of them."
1379,The team behind YOU DON’T KNOW JACK presents FIVE guffaw-inducing party games in one pack! You’re gonna need more than one party for this. Your phones or tablets are your controllers! For 1-100 players!
1380,Airline Tycoon Deluxe is a funny economy simulation proceeding in realtime and assigning you the complete responsibility for an airline.
1381,Explore and uncover the mystery of a surreal alien world by blasting aliens and glitching your environment in this intense retro side-scrolling action/adventure.
1382,"Spriter makes it easy for anyone, regardless of experience, to create 2D game animations using a technique called Modular Animation. Individual sprite pieces can be attached to bones and then easily animated with the powerful, yet easy to use toolset."
1383,"Phoenix Force is a shoot 'em up about a group of phoenixes that fight big and strong mythological creatures in over 100 levels. It takes the boss battle as the foundation for every level, creating engaging and challenging fast battles that will require your best strategies and reflexes."
1384,"GRAV is a sand box experience where you explore a multitude of planets, hunt strange alien creatures, build and defend outposts, craft weapons and armor, and attempt to survive against other players in a hostile environment."
1385,"1Quest is a roguelike, a challenging turn based RPG with high replay value"
1386,"Welcome back to the new and improved Freddy Fazbear's Pizza! As always, Fazbear Entertainment is not responsible for death or dismemberment."
1387,"A physics puzzle game like no other! You are inside the big old machine. There are rusty gears and shafts all around you, along with interactive objects such as planks and cubes. Use each object and place the wheel on the platform – easy!"
1388,"Cherry Tree High I! My! Girls! is a linear visual novel that picks up the story from the popular adventure game Cherry Tree High Comedy Club. Cherry Tree High I! My! Girls! continues the story of Cherry Tree High Comedy Club, adding new areas, new music, and three new characters to the roster!"
1389,"What's NEKOPARA? Why, it's a cat paradise! Kashou Minaduki, the son of a long line of Japanese confection makers moved out to open his own shop &quot;La Soleil&quot; as a patisserie."
1390,"Explore the dark underbelly of a massive wine cellar contested with cult bandits, traps, and paranormal bosses. Select from an array of different characters with unique abilities, and opportunities for customization."
1391,"Medieval Engineers is a sandbox game about engineering, construction and the maintenance of architectural works and mechanical equipment using medieval technology. Players build castles; construct mechanical devices and underground mining. There is an entire planet to explore!"
1392,Epic Arena is a free-to-play turn-based strategy game. Pick one of three completely different teams and outwit your opponent in epic back-and-forth matches. Flex your tactical muscles in time-limited Blitz mode matches or take your time in turn-by-turn duels.
1393,"42 Players Start. Only 1 will survive.Down to One is a competitive survival shooter in a large, interactive, open-world environment. Start out with nothing, and use anything you can find in the environment to survive, and eliminate other competitors over the course of a brutal round."
1394,Armikrog is a unique stop motion clay animated point and click adventure game from the creators of Earthworm Jim and the Neverhood. Unravel the mysteries of the fortress that holds Tommynaut and his blind alien talking dog Beak-Beak captive through exploration and puzzle solving!
1395,"Inspired by the party games Werewolf and Mafia, Town of Salem is a game of murder, mystery and deception."
1396,"Squirrel-based Hardcore 2D Platformer. Save the Squirrel population from the evil robotic Squirrel, Shadowtail!"
1397,"Magic Barrage - Bitferno is a top down style free to play action MMORPG with intense PvP and PvE combat. Play as one of the 8 classes and go on an epic adventure to save, or destroy the world."
1398,"Transformice is an MMO platformer about dozens of mice running to bring back the cheese! Will the almighty Shaman help you or just ruin everything? Millions of levels, hectic physics, skill trees, and more importantly... hats!"
1399,"Brick-Force is a sandbox shooter that lets you BUILD your own battlefields, SHARE them with other players, and PLAY many challenging game modes in fast-paced PvP matches!"
1400,Search for a ruthless assassin in this Gamebook Adventure where YOU control the story!
1401,What will you do if you can redo the last 7 days before you died? Try this unique supernatural mystery visual novel!
1402,The miserable journey of a broken man...
1403,"Tkl Online (TO) is an MMO-style single player RPG created with RPG Maker VX. You are a human in the world of Orbis Terrarum, in which monsters and magic are real. Orbis Terrarum is a free-roaming open world where you have the freedom to become anything you want."
1404,"Behold an anime-themed land of wonders, friendship and skill, shrouded in the mysteries of an ancient world yours to explore. Forge relationships and find new friends, take up a job, or soar through the majestic skies as you rediscover a social MMORPG beloved by many around the world!"
1405,"Prepare yourself for mind-blowing puzzle action in new dimensions! You think Starlaxis is just a small puzzle game? THINK AGAIN! Master breath-taking challenges, win seemingly impossible boss fights, complete multiple missions goals, overcome dozens of enemies, and last but not least: Save EARTH!"
1406,"It's a relaxed, laid-back episodic 3D point-and-click adventure game set on an island group in the middle of the pacific! Yay! Hooray!"
1407,"Explore this vast fantasy world of Ashan - from the glorious temples of Elrath, the Dragon of Light, to the undead lands of Nar-Heresh."
1408,Outcast 1.1 is an enhanced version of the critically acclaimed action-adventure game developed in 1999 by Appeal for the PC.
1409,"HIT is a free, multiplayer, deception-based shooter. Betray your friends and sniff out the Rogue Agent. Hit revolves around deception and espionage. Set in a sleek, 70s-style super-mansion and glazed with a decadent layer of treacherous whimsy, HIT is short, stylish, deceptive, and uproarious fun."
1410,In Guild Commander you manage your guild to victory! Deploy your guild members and save your world from the Necro Lord!
1411,"Paint the Town Red is a chaotic first person melee combat game set in different locations and time periods. The voxel-based enemies can be punched, bashed, kicked, stabbed and sliced completely dynamically using almost anything that isn't nailed down."
1412,"Vampire princess Mina needs your help! A wicked curse has fallen on the people of the Kingdom of Vempire - everyone has turned to stone! In order to reverse the curse, Mina has to travel to the evil witch's tower and defeat her, but she can't do it alone!"
1413,"Trapped in an alien submarine, Edward's faith will be tested in a tale of trust and deceit. Bermuda is a visual novel mixed with open ended stealth puzzles."
1414,X-note is a blend between Visual Novel and Dating Sim. Follow the story of Essi as she pursues the truth of her mother's death.
1415,"Anoxemia is a story-driven exploration game that puts you in control of the scientist Dr. Bailey and his operations drone, ATMA. Search the ocean floor as you discover and extract samples from the bowels of the underwater caves."
1416,"Batla is the awesome shooter game about robots, which came to conquer the Earth, but turned to be were too small for that. They had no choice but to capture the kid's room and start fighting there."
1417,"Just Get Through is a randomly generated platformer with roguelike elements. Featuring a destructible environment, sandbox mode, user-created levels, various gamemodes, hardcore mode, color palettes, deadly traps, explosions and more."
1418,"Trouble In The Manor is an online multiplayer game which takes place in a spooky far away manor. You are designated one of three roles upon each round: innocent, bloodhound, or murderer."
1419,"Seven Kingdoms 2 is an award-winning classic real-time strategy game of intrigue and diplomacy, of trade and industry, of betrayal, espionage and conquest.Take control of any of twelve emerging Human civilizations: Egyptian, Indian, Persian, Chinese, Japanese, Mongol, Greek, Roman, Carthaginian, Norman, Viking or Celt."
1420,"Against explosive firepower, bitter cold, and dizzying heights, Fork Parker must outwit a group of no-talent game developers in a deadly holiday promotional game. Also, it's free."
1421,"London is falling. Are you prepared? The Last Blight is upon us. It was foretold. For the second time in history, a great plague has shrouded London in a fog of death. Big Ben tolls as thousands of unprepared die, or worse, are infected by a sickness more gruesome than death."
1422,Build and protect castles simultaneously in this original and addictive game!
1423,"Your robots will change the world! Will you show them the true meaning of love, or conquer Alaska with your robot army? A 300,000-word epic interactive sci-fi novel."
1424,"Runestone Keeper is a roguelike dungeon crawler that blends classic RPG elements and turn based strategy. Heroes, monsters, equipment, events, magic and skills, traps and devices, shrines and altars, Goddesses and merchants. Choose your weapon and begin an epic adventure!"
1425,"This game is about a person who kept running through his life, never looking back at the past. He rarely slept, and even with 24 hours in a day, it was not enough for him. Once during a trip, he gets into trouble. Now he's lying on the cold ground, buried beneath his bicycle. Slides of various moments fly through his head."
1426,"rFactor is a realistic easily extendable racing simulation from Image Space Incorporated. It offers the latest in vehicle and race customization, great graphics, outstanding multiplayer, and the height of racing realism."
1427,"HuniePop is a unique sim experience for PC, Mac and Linux. It's a gameplay first approach that's part dating sim, part puzzle game, with light RPG elements, a visual novel style of presentation, an abrasive western writing style and plenty of &quot;plot&quot;."
1428,It's one year after the collapse of civilization and self-centered hedge fund manager Joe Wheeler emerges from his specially constructed bunker in search of food. This is a huge open-world RPG where you have the freedom to play how you want - but your choices have consequences.
1429,"Basement is a strategy game, where you play as a desperate scientist who chose the wrong path in his life. That path seemed easy, but turned into a deadly one. You have no choice but to build the most effective enterprise and stay alive in a cruel world of illegal business."
1430,Shadows of War is a 2D Real-Time Strategy sidescroller game. The game combines classical RTS elements with new ideas into a 2D game.
1431,"At first sight, Cubot is a puzzle-game with a minimalist gameplay, just move color cubes towards tiles of the same color. It's really easy, but it will be a torture for your mind to complete all levels of the game because the apparent simplicity of the game is in contradiction with the complexity of the level-design."
1432,"Teddy Floppy Ear is a main character of series of adventure games for the children, based on the on famous Polish cartoon. Send your kid onto an unforgettable journey with the world’s most charming bear!"
1433,"Based on a famous Polish cartoon, Teddy Floppy Ear stands out as a great entertainment for children. Prepared by an experienced team, Teddy Floppy Ear – Kayaking mixes fun adventure game with a healthy dose of learning, perfect for young minds. Send your kid onto an unforgettable journey with the world’s most charming bear."
1434,"A cooperative, cross-platform, multiplayer scifi game where players control the same ship through 5 roles — Captain, Helm, Tactical, Engineering &amp; Science. Battle with other player crews over the Internet."
1435,GCM2 is fierce arena combat with an RPG job system for 1-4 local players. Battle to the top of the class tree and get massively powered-up!
1436,"In this tug-of-war, casual defense game， you play Leonidas who is the hero-king of Sparta, against hordes of attacking zombies in Thermopylae. Recruit allies and build defenses to stop them!"
1437,"You are Kayto Shields, an ordinary man thrown into an extraordinary adventure. Control Kayto's day to day life as well as his responsibilities as club manager in this stat management sim."
1438,"Gunslugs 2 takes the action chaos genre further than ever before... into space and beyond. Rockets, tanks, choppers, train crashes, huge metal robots, aliens and hordes and hordes of the Black Duck army minions !"
1439,"Deepworld is a massively-multiplayer 2D crafting adventure game. Mine and craft your way through a persistent online universe where there's always something new to discover. Battle frightening monsters, mysterious automatons, and other players in PvP!"
1440,"Form your own game studio set in the early 1980s in a small garage. Develop your own game ideas, create a team and develop megahit video games. Research new technologies, train your staff and upgrade your office space, going from a lowly garage to a huge building. Expand your business and dominate the world market for video games!"
1441,Colonial Conquest is a conquest simulation set in the Victorian age of warfare and expansion of the late 1800's and early 1900's.
1442,"&quot;The Lady&quot; is a 2D Surreal Puzzle Horror, featuring hand drawn character art, stop motion animation, and a hauntingly abrasive Noisecore Soundtrack. The game features the most unique female protagonist to ever exist in a video game."
1443,"An ancient tower in a forgotten land. A lone photographer on a desperate search. Facing dangerous animals, crumbling architecture, and perilous pitfalls, can you reach the summit of the Tower, and perhaps, redemption?"
1444,"Get your friends and bust out the controllers, STARDUST VANGUARDS is a local four-player dueling game inspired by old-school anime space operas, combining arcade-style battling with the ability to summon your own NPC army as support!"
1445,Control a pond's ecosystem; experiment with what you can do and see what happens. Among Ripples is a meditative ecosystem management simulator; you add different creatures to the pond and see how they interact.
1446,"&quot;I need a Dustoff!&quot; became an all-too-familiar call on the airwaves of jungle wars. Now take off with your rescue helicopter and search and save the life of the wounded soldiers in the field, often under fire. If you can't, nobody else can!"
1447,"Find yourself trapped alone in a room with a ticking time bomb. Your friends have the manual to defuse it, but they can't see the bomb, so you're going to have to talk it out – fast!"
1448,"SickBrick is an action-packed science fiction first-person-shooter (FPS) with vivid graphics and fast, frantic game play. Destroy hundreds of hostile robots with a wide variety of weapons on a strange alien planet."
1449,"Hatred is a violent twin-stick shooter, in which you take the role of The Antagonist fighting against all of humanity."
1450,Experience a point-and-click adventure RPG game like never before featuring seven playable female characters and a male vampire in this not-so serious tale. Catz and Kitsune desire to go on an adventure with Xenonight who have no choice but to follow them.
1451,Games of Glory is a top-down action team shooter set in a science fiction universe. Fight alongside your friends to earn fame and fortune in the epic intergalactic arenas of the Synarchy!
1452,"Nevermind ushers you into dark and surreal worlds within the minds of trauma patients. When played with biofeedback technology (via a standard webcam and/or supported heart rate sensor), Nevermind picks up on indications of fear—lashing out if you allow your feelings of anxiety to get the better of you."
1453,"日本語バージョンダウンロード開始されました。Two girls, blessed with magical powers, are faced with the task of saving the lonely protagonist from the clutches of a mysterious witch and ancient evil, sealed away long ago by his ancestors. What does this sorceress want from our protagonist?"
1454,Gunscape provides easy-to-use tools based on a block-placement interface everybody's already familiar with to create all types of maps. Don't like building stuff? Then just blast your way through hordes of monsters or duel with other players!
1455,"Shipwreck is a top down adventure game in which you must travel the land, explore dungeons, and defeat monsters to earn safe passage off the island on which you are stranded."
1456,"Become a hero of the skies! Who has not ever wanted to be able to fly freely in the air. This dream was realized by using the potential and vision of the Air Force, and spawned the legendary aircraft. Heroes In the Sky provides easy control, which allows the player to immediately take off to the sky."
1457,"Accompany Hercules on a quest to rescue his wife, kidnapped by the evil Hades in 12 Labours of Hercules! You'll meet heroes from Ancient Greece as you vanquish beasts, repair roads and construct wonders in this stunning Time Management game!"
1458,"‘It came from space, and ate our brains’ is an Arcade top down shooter with horde survival gameplay. The brain slurping aliens are only vulnerable to bullets. Using your flashlight, environment and special powers you have a better chance to take care of the unwanted pink guests."
1459,"Pilot your ship in the seamless open world made of space, planets, and more. Find new ships and equipment, find allies and beat all the enemies in this open source space shooter!"
1460,"A three-man activist group has set out to make the world a better place by stealing famous pieces of art in the world's most renowned museums, selling them to private collectors, and donating the money to charity."
1461,"I am excited to release my first game on Steam! SimpleRockets was released in 2013 for mobile and I've put a ton of work into it to get it ready for PC and Mac. It was inspired by KSP, and it offers a simpler 2D experience for building rockets and exploring space with realistic orbital mechanics."
1462,"Overture is an action-adventure roguelike which draws heavy inspiration from hits such as Diablo, Realm of The Mad God, Zelda, and The Binding of Isaac. Explore vast randomly generated dungeons and slay hordes of cunning enemies!"
1463,A casual bike skills game full of action and real physics dynamics.
1464,Zotrix is a modern take on the classic arcade shooter. The game introduces resource trading economy and system of upgrades between number of space stations bringing the classic experience into modern generation. Aliens are attacking and Solar Division Command needs You!
1465,"Featuring six levels of intense shooting action, Tiamat X is a rip-snortin tribute to the side-scrolling space shooters of yesteryear, and would be right at home blazing away on the screen of a booming, beer-stained arcade cabinet."
1466,"Destroy negativity, clear your mind! Particula brings you a new perspective in gaming, helping you to concentrate and relax. A three players co-op tower defense experience with a relaxing soundtrack, smooth visuals and gameplay."
1467,Bob Was Hungry is a challenging precision platformer with many levels designed to truly test your platforming skills. Play alone or online with 2-8 player co-op and make your way through countless perils to feed your bob!
